Track name,Artist name,Album,Playlist name,Type,ISRC,Apple - id
"Radical Jinja","Kobaryo","画竜顕現エトセトラ","Favorite Songs","Playlist","JPP561101092","1656499118"
"メイドノココロハ アヤツリドール","森羅万象","ネタミニティ","Favorite Songs","Playlist","JPW561807031","1437769869"
"うたかた","豚乙女-BUTAOTOME-","少女煉獄第参巻","Favorite Songs","Playlist","JPW561800192","1437884979"
"信仰は儚き人間のために","交響アクティブNEETs","東方フィルハーモニー交響楽団6 風 第一幕","Favorite Songs","Playlist","JPW562104258","1598048377"
"Calamity Fortune (Long Ver.)","LeaF","Doppelganger","Favorite Songs","Playlist","TCJPP2106993","1574029662"
"Anybody Can Find Love (Except You.)","hkmori","Unrequited Love - EP","Favorite Songs","Playlist","QZS652338799","1676792030"
"マーシャル・マキシマイザー (feat. 可不)","柊マグネタイト","KAF+YOU KAFU COMPILATION ALBUM シンメトリー","Favorite Songs","Playlist","JPB602142102","1688513139"
"Journey(Remake Ver.)","ARForest","Frost Era","Favorite Songs","Playlist","TCAEM1979127","1487205208"
"Beautiful World (Remastered 2018)","宇多田ヒカル","HEART STATION (2018 Remastered Album)","Favorite Songs","Playlist","JPPO01806081","1444575351"
"スーパーシンメトリー (feat. b)","Sta","Worlds","Favorite Songs","Playlist","TCJPK1919034","1492553312"
"Treading in the Abyss","Wisp X","Glass Heart - Single","Favorite Songs","Playlist","SE5VF1801546","1447559314"
"WACCA ULTRA DREAM MEGAMIX","USAO & Kobaryo","WACCA ULTRA DREAM MEGAMIX - Single","Favorite Songs","Playlist","TCJPX2380767","1715416571"
"raputa","sasakure.UK & TJ.hangneil","raputa - Single","Favorite Songs","Playlist","TCJPY2372686","1726494496"
"Möbius","USAO & かめりあ","Möbius - Single","Favorite Songs","Playlist","TCJPR2270292","1620277322"
"mimizuqu (feat. ダズビー)","sasakure.UK","mimizuqu (feat. ダズビー) - Single","Favorite Songs","Playlist","TCJPR2254924","1617625760"
"ミカヅキ","さユり","ミカヅキの航海","Favorite Songs","Playlist","JPU901502275","1538114025"
"Big Daddy","USAO","Big Daddy - Single","Favorite Songs","Playlist","TCJPL2083415","1517276024"
"パメラ","バルーン","パメラ - Single","Favorite Songs","Playlist","JPJ232102705","1591451969"
"泥の分際で私だけの大切を奪おうだなんて","ツユ","泥の分際で私だけの大切を奪おうだなんて - Single","Favorite Songs","Playlist","TCJPM2037409","1528877554"
"To the Milky Way","黒魔 (Chroma)","To the Milky Way - Single","Favorite Songs","Playlist","JPS801965030","1690002883"
"桃源郷コンダクター","電音部,前田甘露,浅田大貴,日高零奈 (CV: 蔀 祐佳)、東雲和音 (CV: 天音みほ)、茅野ふたば (CV: 堀越せな)","桃源郷コンダクター - Single","Favorite Songs","Playlist","JPR502403958","1736648303"
"TAMAYA","Chinozo","TAMAYA - Single","Favorite Songs","Playlist","TCJPN2034004","1544203089"
"青春コンプレックス","結束バンド","青春コンプレックス - EP","Favorite Songs","Playlist","JPE302200934","1646020675"
"スキスキ絶頂症","koyori(電ポルP)/nameless","Resonance","Favorite Songs","Playlist","JPTE01803670","1395170089"
"塵界不変のペシミズム~心綺楼囃子","あきやまうに","暗黒能楽集・心綺楼 (東方心綺楼 ORIGINAL SOUND TRACK)","Favorite Songs","Playlist","JPW561812078","1437762787"
"Cyaegha","USAO","Cyaegha - Single","Favorite Songs","Playlist","TCJPK2031862","1495289637"
